"Devotional Song Lyrics
",Devotional Song Meaning
"Sai Charana Sukha Dayi Bhajore (x2)
Sai Naama Ke Do Akshara Mein
Sab Sukh Shaanti Samaayi Re
Sai Naath Ke Sharano Mein Aakar
Jeevana Saphala Banaao Re
",The feet of Sai grant grace and comfort. In the 2 lettered name of Sai is contained the entirety of peace and wellbeing. Find fulfillment in your like having taken refuge in his feet.
"Lead Kindly Light, Lead me on
Through the dark night to a bright dawn
Lead Kindly Light Lead me on
Lead me from unreal onto the Real
Lead me from darkness to Divine Light
Lead me from death to Life Eternal (X2)
Lead me, Guide me, O Love Divine
Asathoma Sathgamaya
Thamosoma Jyotirgamaya
Mrithyorma Amrithamgamaya
Hari Om Hari Om, Om Sai Ram
-- 2nd Speed --
Hari Om Hari Om, Om Sai Ram
Asathoma Sathgamaya",
"Ganesha Shiva's son I reverently Implore Thee
Ganesha You are the One to Clear the Path before me
Ganesha Shiva's son I reverently Implore Thee
Ganesha You are the One to Clear the Path before me

Lord Sai within my heart humbly I adore Thee
Lord Sai I pray Thou art kept in mind before me
Lord Sai within my heart humbly I adore Thee
Lord Sai I pray Thou art kept in mind before me",
"Lead Kindly Light Sathya Sai Baba(X2)
You have come to fill our hearts, fill our hearts with love
You have come to light the lamp, light the lamp of love

Guide me Oh Lord Sathya Sai Baba
Guard me Oh Lord Sathya Sai Baba
You have come to Show the way, lead me by the hand
You will always watch for me, however far I am

Picture His Form Sathya Sai Baba
The Universal Light Sathya Sai Baba
Satyam Shivam Sundaram Sathya Sai Baba
Make the temple in your heart the place where He resides",
"Chant The Name Of God Sing The Glory Of The Lord
Hare Ram Hare Ram Hare Krishna ,Sai Ram 
Call Him Allah Or Buddha Jesus Zorrastra 
Say Ram Rahim Mahavir Sai Natha 
He is All Names And All Forms Choose Anyone
 He is All Names And All Forms Almigthy One (x2) ",
"Sai Ram, Hear My Call To You, Sai Ram Hear My Call
Sai Ram, I Know You Must Hear My Call
Sai Ram, Hear My Call To You, Sai Ram Hear My Call
In My Heart Is A Burning, Yearning For You
I Am Waiting, I Am Praying, I Am Calling To You
",
"Va Va Murugaiya Vadivel Azhaga
Va Va Va Kumara Tiru Karthikeya (Va Va Murugaiya ...) 
Singaravela Shiva Shakthi Bala 
Sangeetha Lola Sathya Saieesha 
Va Va Murugaiya Vadivel Azhaga (6X - low and high) 
","Come, Come, O Lord Muruga (Subramanium), beautiful form with the spear in your hand, Come O son of Shiva and Parvathi, Come O Sai Baba, lover of music."
"Om Jai Sadguru Maharaj Jai Sadguru Maharaj
Hey Sai Natha Bhagawan Jai Sadguru Maharaj
Prema Swaroopa Shanthi Swaroopa Jai Sadguru Maharaj
Papa Vinashaka Mukthi Pradayaka Jai Sadguru Maharaj
Hey Sai Natha Bhagawan Jai Sadguru Maharaj","Praise the one true teacher, the one true king. Sai you are the true teacher. Your form is love and peace. You destroy our sins and grant us liberation. Dear Sai you are our teacher."
"Sathya Swaroopini Sai Janani
Nitya Niranjani Mata Sai
Parama Dayavani Mangala Roopini
Jagadodharini Kaivalya Dayini
Karuna Sagari Pahi Maheshwari","Dear Sai, Mother your form is of truth. Ever fresh and new are you. You are one filled with superme compassion and one whose form is auspicious. You redeem the world and grant us liberation. Oh, Ocean of mercy, protect us dear mother."
"Guru Brahma Guru Vishnu Guru Devo Maheshwara
Jaya Deva Guru Deva Jaya Sathya Sai Eshwara
Jai Jai Jai Karunakara Jai Jai Jai Akhileshwara
Jai Jai Jai Shirdishwara Jai Jai Jai Parthishwara","Worship the Sai Guru, who is Brahma (creator), Vishnu (sustainer) and Maheshwara (destroyer). Adore His lotus feet, which redeems all from miseries.
"
"Guru Brahma Guru Vishnu Guru Devo Maheshwara
Jaya Deva Guru Deva Jaya Sathya Sai Eshwara
Jai Jai Jai Karunakara Jai Jai Jai Akhileshwara
Jai Jai Jai Shirdishwara Jai Jai Jai Parthishwara","Worship the Sai Guru, who is Brahma (creator), Vishnu (sustainer) and Maheshwara (destroyer). Adore His lotus feet, which redeems all from miseries.
"
"Gajanana Gajanana
Prathama Pujana Gana Raya
Prathama Prathana Sri Gana Raya
Lambodara Gana Raya",O Lord Gajanana! Thou art the One Whom all worship and pray. O'Mighty One! Thou art King of the Divine Forces.
"Prema Bhakthi Jagao Man Mein 
Aao Mere Bhajana Mein Baba (1)
Aao Mere Hrudaya Mein Baba (1)
Tuma Ho Deena Janon Ke Sai
Tuma Ho Bhakta Janon Ke Baba
Aao Mere Bhajana Mein Baba (1)
Aao Mere Hrudaya Mein Baba (1)","Awaken love and devotion in our hearts dear lord. Please accept my offering and come into my heart. You belong to the down trodden, you belong to your devotees. Please come."
"Son of Shiva, son of shakti
Lord ganesha is your name
Remove all our tears, remove all our fears
Uplift us, empower us with love
Sainatha ganesha, the son of Mahesha
Sing through us lord of all lords (2x)",
"Let my heart reflect thy light lord
As the moon reflects the light of
the sun in love, always in love (x2)
Hu Allah Allah Hu Allah, Hu Allah Allah Hu. (x2) ",
"Giridhara Nagara Kunja Vihari
Madhuvana Sanchari Parthi Vihari 
Shyamala Sundara Mayura Mukutadhara
Pankaja Lochana Madhava Mohana
Madhuvana Sanchari Parthi Vihari","Lord Giridhara who held up the mountain to save His devotees, moves around in Kunj. Hail Lord Krishna who resides in Parthi and loves to roam in the fields of ‘Madhuvana’. The dark-complexioned beautiful Lord, with the effulgence of a thousand suns rising together wears a crown of peacock feathers on His head. With eyes ruddy as the interior of a lotus, the Lord of Lakshmi has an exquisitely beautiful form, very much pleasing to behold
"
"Jaya Jagadeesha Jaya Paramesha
Nilakantha Sada Shiva
Om Hari Om
Hari Om Hari Om
Devadhi Deva Dina Dayala
Chandrashekhara Shambho (2)
Nilakantha Sada Shiva","Victory to supreme Lord Mahesha, who has blue neck (He swallowed the poison which came out during churning of ocean to retrieve the earth and kept in His throat - Nilakantha). He is merciful Lord, Lord of all Lords, perpetually auspicious and has Crescent on His forehead. Chant the mantra, ""HARI OM , HARI OM"
"Om Shivaya Om Shivaya
Shambho Shankara Om Shivaya 
Shambho Shankara Om Shivaya 
Shambho Shankara Om Shivaya 
Om Shivaya Om Shivaya 
","Chant the mantra, "" Om Shivaya, Shambho Shankara Om Shivaya ""."
"I bow down at the Feet of Ganesha
Ganesha Ganesha 
(I bow down …)
Ganesha, I Pray, You will clear my way (3x) 
Ganesha Ganesha
(I bow down …)
Jai Ganesha, Sai Ganesha, clear my way to Baba (3x)
Ganesha Ganesha
",
"Ayyappa Sharaname Ayyappa Sharaname Ayyappa Sharaname Swami Ayyappa Sharaname
Shabari Nayaka Shanthi Dayaka Ayyappa Sharaname Swami Ayyappa Sharaname
Parthi Nayaka Prashanthi Dayaka Ayyappa Sharaname Swami Ayyappa Sharaname","We seek refuge in Ayyappa and sing his glory. Glory to the lord of the devotee Sabari, the granter of peace. Glory to the lord of Parthi, the granter of eternal peace."
"Aao Aao Aao Aao
Aao Sundara Nanda Gopal
Navaneetha Chora Manasa Vihara
Darshana Do Nandalala (2)
Mujhey Darshana Do Nandalala
","Welcome to the charming Gopala, the son of Nanda who lovingly stole butter and who revels in the hearts of devotees. Oh Nandalala, grace us with your Darshan.
"
"Aao Aao Antaryami
Adi Narayana Sai Narayana |Aao Aao...|
Hrudaya Vihari Hey Giridhari
Hey Giridhari Hey Giridhari
Hari Hari Sri Hari Sai Murari
","Welcome Lord Sai Narayana, the indweller of our hearts! Chant the names of Sai Giridhari, Hari and Sai Murari
"
"Aao Aao Hey Bhagawan
Sab Jeevan Ke Karo Kalyan |Aao Aao...|
Tum Ho Parama Krupa Ke Sagar
Tum Ho Guna Mandir Nata Naagara
Tum Ho Sathya Sanathana Swami
Ghata Ghata Vasi Antaryami
","Welcome O Lord! Bless and grant auspiciousness and peace. You are the Ocean of Compassion, the Temple of Virtues. You are the Truth and Eternal Bliss, omnipresent in every being
"
"Aao Aao Nandalala
Sundara Shyama Gopala |Aao Aao...|
Tum Hi Ho Bansidhari Shyama
Ayodhya Pathi Sita Rama
Parthi Baba Karuna Sindhu (Nidhan)
Maakhan Chora Yashoda Bala
","Welcome Oh Nandalala (Krishna). You are beautiful and the holder of the divine flute. You are Lord Rama of Ayodhya, the Lord of Sita. You are Lord Sai of Parthi the compassionate one. You are also the darling son of Mother Yashoda, the one who stole butter.
"
"Aao Aao Sai Natha
Aao Aao Hey Jagannatha |Aao Aao...|
Darshan Ke Liye Taras Rahey Hai
Nayan Hamarey O Sai
Darsha Dikhao Daya Ke Sagar
Aao Shankara Hey Parameshwara
Aao Aao Sai Natha
Aao Aao Hey Jagannatha (2)
","Welcome! Oh Sai, Lord of the Universe, Our eyes are eager to see Your Divine form. Kindly grant us your Divine Darshan O Ocean of Compassion! Welcome Oh Lord Krishna
"
"Aao Aao Sai Pyaarey
Keertan Karoon Main Sai Tumharey |Aao Aao...|
Tum Ho Merey Nayanon Ke Taarey
Darshan Do Jeevan Ke Saharey
","Welcome, Oh Beloved Lord Sai! I sing Your glory! Oh Supreme Lord you are the twinkling star of my eyes. Oh companion of my life, kindly grant us your Divine Darshan
"
"Aao Aao Shyama Gopal
Madhura Manohara Sai Gopal Aao |Aao Aao...|
Dharma Uddharana Bhaktha Parayana
Aao Narayana Krishna Gopal (Aao)
","Welcome Oh Shyam Gopala, the one who has a charming and a captivating form. You are the upholder of righteousness and very dear to the devotees who treads the right path. We welcome you as Narayana, Krishna and Gopala
"
"Aao Aao Swami
Hrudaya Mandir Mey Aao Swami |Aao Aao|
Darshana Dey Prabhu Paapa Vinashaka
Sharanagatha Ke Bhava Bhaya Mochana
Sathya Swaroopa Aao
Prema Swaroopa Aao Swami
","Welcome Lord. Please come and install yourself in our hearts. Your Divine Darshan dispels all sins. Give me refuge and save me from the cycle of birth and death. Please come, Oh embodiment of Divine Love and Truth
"
"Aao Gopala Giridhari
Aao Aao Antaryami
Aao Aao Ananda Sai |Aao Gopala...|
Aao Aao Hrudaya Nivasi
Aao Aao (Pra) Shanthi Nivasi
","Welcome Lord Sai Giridhari Gopala! The indweller of our hearts. Welcome, Oh Blissful Lord of Prashanthi
"
"Aao Gopala Shyama Gopala
Darsha Dikhao Mujhey Parthi Gopala |Aao Gopala|
Brindavan Ke Krishna Gopala
Parthi Puri Ke Sai Gopala
Aao Gopala Shyama (Sai) Gopala
","Come and grant us your divine Darshan Oh Gopala! The one with Blue complexion who dwells in Brindavan and Parthi.
"
"Aao Prabhu Aao Sai Bhagawan
Sathya Sai Bhagawan |Aao Prabhu...|
Sathya Dharma Shanthi Prema Pradatha
Nithya Nirmala Jeevana Daata
Jagadodharana Bhaktha Parayana
Aao (Sai) Narayana Bhakthon Ke Pran
","Welcome! Oh Lord Sathya Sai Bhagawan! You endow everyone with purity of life, truth, righteousness, bliss and love. Oh Lord Sai Narayana! You are the saviour of entire creation and the Lord dear to your Devotees
"
"Aao Pyaarey Nayana Hamarey Sai Hamarey Aao
Tum Bin Koi Nahin Rakhwaley
Tum Bin Kaun Saharey (Baba)
Tum Bin Kaun Saharey Aao Sai Pyaarey
Sai Hamarey Aao (3)
","Welcome! Oh Beloved Lord Sai! You are our protector. Without You, there is no one to protect and support us.
"
"Aao Sai Gopal
Aao Gopal Aao Gopal Aao Sai Gopal |Aao Sai...|
Aao Hey Prabhu Parama Dayal
Aao Natawara Lal
Aao Sundara Aao Abhayankara Aao Shiva Shankara Sai
","Welcome! Oh Sai Gopal, the Lord who is most merciful. Welcome! Oh Sai, who is the form of Shiva Shankara, the beautiful one and the protector of the Universe
"
"Aao Sai Narayana Darshan Deejo
Tum Ho Jagat Vidhata (2)
Tum Hi Ho Brahma Tum Hi Ho Vishnu
Tum Hi Ho Shankara Roopa (2)
Tum Hi Ho Rama Tum Hi Ho Krishna
Tum Ho Vishwa Vidhata (2)
","Welcome Sai Narayana grant us your Darshan. You are Brahma, Vishnu, Shankara, Rama, Krishna and you are the one who creates and organizes the universe.
"
"Abhaya Pradayini Ananda Roopini
Rajeeva Lochani Raja Rajeshwari
Parthi Pureeshwari Paapa Vimochani
Hrudaya Viharini Sai Janani (2)
","Oh Mother, you are the one who bestows protection from fear, you are bliss personified having eyes resembling the lotus petal. Oh goddess, of Parthi you are the remover of sins and the one who revels in our hearts.
"
"Abhaya Pradayini Ananda Roopini
Rajeeva Lochani Raja Rajeshwari
Parthi Pureeshwari Paapa Vimochani
Hrudaya Viharini Sai Janani (2)
","Oh Mother, you are the one who bestows protection from fear, you are bliss personified having eyes resembling the lotus petal. Oh goddess, of Parthi you are the remover of sins and the one who revels in our hearts.
"
"Abhaya Pradayini MataMahalakshmi
Alankara Roopini MataMahalakshmi |Abhaya Pradayini...|
MataMahalakshmi Sai Mahalakshmi
Ananda Dayini MataMahalakshmi
Amrutha Varshini MataMahalakshmi |Mata Mahalakshmi...|
","Mother Mahalakshmi (the Goddess of wealth) is the One who has decorated Herself grandly. She confers freedom from fear, Bliss and Grace in a torrent who is presently moving on Earth as Sai Mahalakshmi.
"
"Adi Narayana Sai Narayana
Jaya Hari Narayana Jaya Jaya
Pandari Vasa Hari Narayana
Parthi Nivasa Sai Narayana
Varada Narayana Veda Narayana |Jaya Hari|
","Victory to Lord Sai Narayana, the primordial one. You are the resident of Pandari and the Lord of Parthi. Victory to Lord Narayana who confers boons, who is the source for the origin of the Vedas.
"
"Adi Parashakthi Ma Ananda Roopini Ma
Parthi Nivasini Ma Jagadodharini Ma
Teri Mahima Jo Koi Gave
Janam Janam Ka Dukh Bisrave
Premamayi Sai Ma Sathya Swaroopini Ma |Parthi Nivasini Ma|
","Oh Mother! the resident of Parthi, you are the supreme power and bliss personified who sustains the universe. Those who sing your glory would be free from miseries accumulated from multiple lives. You are the embodiment of Love and supreme Truth.
"
"Adi Poojita Gajanana
Mangala Kari Maha Ganadhipa |Adi Poojita...|
Ambika Tanaya Gajanana
Amba Bhavani Shiva Shambho Kumara
Jaya Jaya Jaya Hey Gajanana
","Oh Gajanana (elephant headed god), you are the first adored (worshipped), bestower of auspiciousness and the head of Ganas (group of demigods). You are the one who makes us cross this turbulent world, victory to you, oh son of Lord Parvathi and Shiva.
"
"Adi Shesha Anantha Shayana
Srinivasa Sri Venkatesha
Raghukula Tilaka Raghu Ramachandra
Sita Pathey Sri Ramachandra |Adi Shesha|
Yadu Kula Tilaka Yashoda Bala
Radha Pathey Gopala Krishna
Pannaga Bhooshana Gowri Manohara
Uma Pathey Shiva Shambho Shankara
","Adore the Lord Srinivasa also known as Venkatesha, who reclines on the seven headed serpent. Sing the glory of Ramachandra, the supreme of Raghu dynasty who is worshipped by his consort Sita. Chant the name of Krishna, the son of mother Yashoda and the supreme of Yadu dynasty who fostered the cowherds and who is worshipped by His consort Radha. Worship Lord Shiva bestower of auspiciousness, one who wears a serpent as His ornament and who is adored by his consort Parvathi.
"
"Aganita Guna Abharana Vibhushani
Adi Parashakthi Devi Namo
Sakala Charachara Srishti Samrakshini
Jagadeeshwari Jaganmata Namo
","Oh supreme goddess Shakthi (Parvathi), salutation to thee, who has immeasurable good qualities as your ornaments and who protects and sustains both animate and inanimate things of this creation. Oh goddess of the universe salutation to thee.
"
"Agarva Sarva Mangala Om Namah Shivaya
Kishora Chandrashekara Om Namah Shivaya
Bhujanga Raja Shobhita Om Namah Shivaya
Mrudanga Tunga Mangala Om Namah Shivaya
Dharadharendra Vanditha Om Namah Shivaya
Prachanda Tandava Shiva Om Namah Shivaya
Om Namah Shivaya
","Shiva, salutation to thee. You are the embodiment of primordial sound Om who exhibits humility and bestows auspiciousness. You adorn the crescent moon and the mighty serpent, dancing to the rhythm of drums during creation. All Gods and eminent people worship you, Oh Lord Shiva.
"
"Aho Madhura Aho Madhura Atmaka Lingam
Sathya Sai Nabhi Kamala Udbhava Lingam
Shivarathri Mahotsava Atmaka Lingam
Shuddha Sphatika Jyothirmaya Mangala Lingam
Sathyam Shivam Sundaram Atmaka Lingam
Tat Pranamami Sada Sayeeshwara Lingam
","We bow to that immortal Linga (symbol of Lord Shiva) created from the Naval of Sayeeshwara during the festival of Shivarathri, which is the symbol of light and purity and the embodiment of truth, auspiciousness and beauty.
"
"Ajanu Bahum Aravinda Netram
Atmabhi Ramam Manasa Smarami (2)
Bhooloka Vaikunta Parthi Nivasam
Prabhu Sai Ramam Manasa Smarami (3)
","Meditate on the form of Lord Rama, whose abode is the heart of devotees, whose arms extend upto his knees and whose eyes are like the blooming lotus. Meditate on Lord Sai Rama, the Dweller of Parthi, which is verily the Heaven on Earth.
"
"Akhanda Jyothi Jalao Sai Man Mandir Mey
Akhanda Jyothi Jalao
Koti Surya Sama Teja Swaroopa
Sai Tum Ho Divya Swaroopa
Akhanda Jyothi Jalao (2)
Divya Jyothi Gnana Jyothi Prema Jyothi Jalao |Akhanda Jyothi|
Akhanda Jyothi Jalao (4)
","O Lord Sai! Illumine the temple of my mind so that the flame of knowledge may glow continiously. You, my Lord have the effulgence of ten million suns, kindle the infinite flame of divinity, wisdom and Divine Love in my mind.
"
"Akhila Jagat Ke Daata Sai
Shirdi Nivasi Bhagawan
Darshan Do Bhagawan (Sai)
Kalimala Bhanjana Parama Daya Ghana
Karuna Nidhey Shirdi Vasa (Parthi Vasa)
Deena Janavana Parthi Mahesha
Shirdi Nivasi Bhagawan |Darshan Do|
","Lord Sai, the dweller of Shirdi, grace us with your divine presence. Oh Sai, you are the supreme reserve of compassion and kindness. Annihilate our acquired impurities. Lord of Parthi, you are the refuge of the forlorn.
"
"Akhila Loka Nayaki Devi Tripura Sundari
Ananda Dayini Devi Jagadeeshwari
Adi Mahakaali Lakshmi Mahadevi Roopini |Ananda Dayini...|
","Oh goddess, you are beauty personified, head of all the worlds and the universe. You are the bestower of bliss and adored as Kaali, Lakshmi and Parvathi.
"
"Akhilanda Koti Nayaka Avatara Sai
Avatara Sai Antaranga Sai |Akhilanda Koti...|
Aganita Guna Sheela Ananda Sai
Adi Shesha Sai Veda Saara Sai
Avatara Sai Paramatma Sai
Atma Linga Sai Antaranga Sai
","O Sai, the supreme leader of all gods and worlds descended on earth who has become the indweller of hearts, reserve of immeasurable good qualities and bliss personified. You are the one who reclines on the Adishesha (7 headed serpent), you are the essence of Vedas and the divine incarnate.
"
"Alakh Niranjan Bhava Bhaya Bhanjana Narayan Narayan
Narayan Narayan Narayan Bhaja (Sai) Narayan (2)
","O Narayana, the one who is free of all blemishes and remover of fear and ignorance in this world, we Chant your holy name.
"
"Alakh Niranjan Sai Sundara
Madhava Giridhari Mohana |Alakh Niranjan...|
Sripathi Sri Hari Dayamaya Hari
Sri Ranganath Hari Keshava
(2nd speed starts from Madhava Giridhari Mohana)
","Sai, you are beauty personified having captivating look, unstained from the world and attributeless. Mother Lakshmi is your consort who resides in your heart and you lifted the Giridhari mountain on your finger tips. You are having a compassionate heart to remove the miseries of your devotees. You are the resident of Srirangam and the destroyer of demon Keshi.
"
"Allah Allah Karo Pukar
Sathya Sai Ki Jai Jai Kaar |Allah Allah |
Yesu Pitha Ki Jai Jai Kaar
Mahaveer Ki Jai Jai Kaar
Zohrashtra Ki Jai Jai Kaar
Sarva Dharma Ki Jai Jai Kaar
","Victory to Lord Allah, Yesu, Mahaveer, Zohrashtra and Sathya Sai who is the embodiment of all religions.
"
"Allah Allah Sai Baba
Yesu Masiha Sai Baba |Allah Allah...|
Nanak Sri Buddha Sai Baba
Zohrashtra Mahaveera Sai Baba
","Chant the divine name of Sai Baba who is also Allah, Yesu, Nanak, Zohrashtra and Mahaveer.
"
"Allah Bhajo Maulah Bhajo Hey Allah Sai Bhagawan
Ram Bhajo Hey Krishna Bhajo Hey Rama Krishna Bhagawan
Nanak Bhajo Gautam Bhajo Hey Buddha Sai Bhagawan
Yesu Bhajo Zohrashtra Bhajo Hey Mahaveer Bhagawan
Sai Bhajo Shirdi Sai Bhajo Hey Shirdi Sai Bhagawan
Sathya Bhajo Sathya Sai Bhajo Hey Sathya Sai Bhagawan
","Chant the divine names of the Lord - Allah, Rama, Krishna, Nanak, Buddha, Zohrashtra, Mahaveer, Shirdi Sai and Sathya Sai.
"
"Allah Eshwar Terey Naam Karuna Sindhu Sai Ram
Mahaveer Tum Buddha Zohrashtra
Yesu Pitha Prabhu Nanak Shyam
Sab Hai Sai Bhagawan (2)
","Oh Sai, you are full of kindness and we adore you as Allah, Buddha, Zohrashtra, Yesu, Nanak and Shyam (Krishna).
"
"Allah Eshwar Tu
Yesu Buddha Prabhu Tu
Zohrashtra Mahaveera Tu
Sai Rama Tu Sai Krishna Tu
Sarva Dharma Prabhu Tu
Sathya Sai Prabhu Tu
Treta Yug Mey Rama Prabhu Tu
Dwapara Yug Mey Krishna Prabhu Tu
Kali Yug Mey Sai Prabhu Tu |Sarva Dhama| |Sathya Sai|
","Oh Lord Sai! You are Allah, Eshwar, Jesus, Buddha, Zohrashtra, Mahaveer, Rama, Krishna. In the Treta Age, you incarnated as Lord Rama; in the Dwapara Age as Lord Krishna and in the Kali Age as Lord Sathya Sai who fosters the unity of all religions.
"
"Allah Eshwara Ek Hi Naam
Bhajorey Manuva Baba Naam |Allah Eshwar...|
Allah Bolo Eshwar Bolo Bolo Sai Ram
Nanak Bolo Yesu Bolo Bolo Sai Ram
Gautam Buddha Mahaveera Bolo Bolo Sai Ram
Bolo Sai Ram Bolo Bolo Sai Ram
","All divine names are HIS, so adore oh! Mind the names of Allah, Eshwar. Chant with the devotion all names such as Allah, Eshwara, Sai Ram, Nanak, Yesu, Buddha and Mahaveera.
"
"Allah Ho Akbar Allah Ho Akbar Allah Ho Akbar
Yesu Pitha Prabhu Allah Ho Akbar Shirdi Sai Parthi Sai Tum Ho
Guru Nanak bhi Tum Ho
Zohrashtra Mahaveera Tum Ho
Yesu Pitha Prabhu Tum Ho
Allah Ho Akbar Tum Ho (Sai)
Allah Ho Akbar Allah Ho Akbar Allah Ho Akbar
","Allah is supreme, Allah is supreme and as he is also Yesu, Shirdi Sai, Parthi Sai, Guru Nanak, Zohrashtra and Mahaveer chant their glorious names.
"
"Allah Ho Akbar Sai Ram Maulah Ho Akbar Sai Ram
Rama Rama Jai Sai Ram Bolo Sundara Naam
Ram Ram Sai Ram Bolo Sundara Naam |Allah Ho|
Bolo Mahaveer Naam Yesu Prabhu Ka Naam
Gurbani Ki Jai Jai Bolo Jai Jai Sai Ram
","Chant the divine names Allah, Maulah, Rama, Mahaveer and Yesu. Victory unto them and Gurubani (divine verses of Gurugranth scripture of sikhs).
"
"Allah Ho Tum Eshwar Bhi Tum Mahaveer Nanak Ram
Partheesha Sai Shankara Tum Hi Ho Merey Pran |Allah Ho...|
Zohrashtra Yesu Buddha Tum Ho Sab Ke Palanhaar
Satchidananda Sai Tera Brindavana Shubh Dhaam
","Dweller of Brindavan the sacred abode O Sai you are Allah also Eshwar, Mahaveera, Nanak, Ram. Oh Sai Shankara of Parthi, you are our life and protector and the embodiment of existence, knowledge and bliss.
"
"Allah Kaho Chahey Eshwar Kaho
Buddha Nanak Mahaveer Kaho
Yesu Pitha Zohrashtra Kaho
Shirdi Sai Parthi Sai Kaho
Jis Naam Se Shanthi Miley To
Wohi Naam Baar Baar Kaho
","Chant repeatedly any of the names of Lord - Allah, Buddha, Nanak, Mahaveer, Yesu, Zohrashtra, Shirdi Sai, Parthi Sai - which confers peace.
"
